,Title,Published_date,Views,Likes,Favourite,Comments,Month
74,7 Incredible Books That Transformed My Health and My Life,2021-11-12,8170,388,0,112,Nov
75,Why EVERYONE Should Start a Podcast (Including YOU),2021-11-05,3631,202,0,46,Nov
76,Building a Burrito Dashboard - Data Science Project from Scratch with atoti,2021-10-29,13594,302,0,39,Oct
77,ML Ops: What is it REALLY?,2021-10-22,7066,286,0,66,Oct
78,Business Skills for Data Science: What are they REALLY?,2021-10-18,6863,303,0,50,Oct
79,#66DaysOfData Round 3 Live Event! (feat. @statquest),2021-10-12,2208,124,0,5,Oct
80,Roasting My First Data Science Project (Common Project Mistakes),2021-10-08,5948,283,0,64,Oct
81,Is Data Visualization Important for Data Science? (A Data Scientist's Perspective),2021-08-20,12906,529,0,110,Aug
82,Project Presentation - Expectations vs. Reality (funny) #shorts,2021-08-07,10241,434,0,32,Aug
83,Data Science Project - Expectations vs Reality (funny) #shorts,2021-08-06,41555,1612,0,32,Aug
84,How I Learned to Learn.,2021-07-31,50888,2368,0,209,Jul
85,Is Spotify Shuffle Really Random? #Shorts,2021-07-21,10830,597,0,50,Jul
86,I Eat a Papaya Live on Stream (Plus Q&A for 150K Subs!),2021-07-16,2428,93,0,30,Jul
87,Why are APIs Important for Data Science?,2021-07-09,10065,456,0,95,Jul
88,Is Your Phone REALLY Listening to You?,2021-07-03,5201,280,0,116,Jul
89,Kaggle vs Github - Which is Best for Your Data Science Portfolio?,2021-06-25,15735,611,0,121,Jun
90,#66DaysOfData - 3 Reasons to Start!,2021-06-18,4101,224,0,41,Jun
91,#66DaysOfData - What is it? #shorts,2021-06-11,9260,397,0,54,Jun
92,A Quick Data Science Project Tip! #SHORTS,2021-06-03,16706,1021,0,89,Jun
93,Discouraged with Data Science? - Watch THIS video.,2021-05-28,7476,394,0,195,May
94,How Data Science Projects Pay Off,2021-05-22,10794,602,0,146,May
95,How I Use Data to Optimize My Life | What I Collect & How I Analyze It,2021-05-14,10649,491,0,134,May
96,What is a lambda function (python)? #shorts,2021-05-13,15556,960,0,49,May
97,Why Kaggle Should Be Your Favorite Data Science Resource #shorts,2021-05-07,31283,1655,0,64,May
98,What is Pandas? (Data & Data Science) #shorts,2021-04-30,24031,1242,0,87,Apr
99,The 7 Biggest Data Science  Beginner Mistakes,2021-04-23,77331,3435,0,284,Apr
100,Data Scientist Reacts: REAL Data Science Job Application Data,2021-04-16,23526,695,0,85,Apr
101,Why You Probably Won't Become a Data Scientist,2021-04-09,138499,4040,0,481,Apr
102,How to Go From Data Analyst to Data Scientist,2021-04-02,54092,1544,0,178,Apr
103,Why I Have 2 Offices for Data Science & Content Creation,2021-03-26,3991,138,0,92,Mar
104,MARCH MADNESS - Will My Machine Learning Model Beat Your Bracket?,2021-03-19,18227,350,0,108,Mar
105,My Regrets as a Data Science Student,2021-03-12,23990,883,0,112,Mar
106,My Daily Battle With Time - Will I Win? [Vlog],2021-03-08,3838,196,0,83,Mar
107,What is the Future of my Comment Leaderboard Project?,2021-02-26,5582,201,0,81,Feb
108,How to Build a Website  - Building my ULTIMATE Portfolio Website,2021-02-19,6808,174,0,51,Feb
109,Why I Quit Data Science,2021-02-12,104904,2349,0,345,Feb
110,🌶 Hot Topics in Tech: Data Science Explained #SHORTS,2021-01-29,10729,559,0,116,Jan
111,How I Balance Data Science and Content Creation (7 Secrets),2021-01-23,7001,294,0,126,Jan
112,Kaggle Project From Scratch - Part 3 (Advanced Graphs & Gender Imbalance Analysis),2021-01-16,9842,304,0,52,Jan
113,Kaggle Project From Scratch - Part 2 (Exploratory Data Analysis),2021-01-08,22941,698,0,134,Jan
114,Kaggle Project From Scratch - Part 1 (Data Science Profession Survey),2021-01-02,38233,1144,0,147,Jan
115,What is the #66DaysOfData?,2020-12-26,70175,2329,0,202,Dec
116,How I Would Learn Data Science in 2021 (What Has Changed?),2020-12-19,131547,5965,0,488,Dec
117,Unboxing the Ultimate Z by HP Data Science Package (FIRST EVER HP Workstation w/ Data Science Stack),2020-12-10,11005,400,0,133,Dec
118,I Built the FIRST EVER YouTube Subscriber LEADERBOARD,2020-12-07,23577,727,0,324,Dec
119,7 Things to Look For in a Masters For Data Science (feat. @TinaHuang1),2020-11-20,28245,864,0,160,Nov
120,6 Lessons from #66DaysOfData,2020-11-13,6741,340,0,93,Nov
121,100K Channel Update + AMA Stream!,2020-11-12,2319,127,0,22,Nov
122,Find a Data Science Project With These 3 Techniques,2020-11-06,16869,732,0,106,Nov
123,How I Chose My Masters Degree for Breaking into Data Science,2020-10-30,27471,678,0,155,Oct
124,git for Data Science Made Simple... (Hopefully),2020-10-23,20231,883,0,92,Oct
125,The PODCAST you might have asked for?,2020-10-19,2122,94,0,44,Oct
126,Dealing with Doubt in Data Science (My Impostor Syndrome Story),2020-10-16,6765,450,0,113,Oct
127,Advice from a Data Analytics CEO (@How to Get an Analytics Job) - KNN EP. 17,2020-10-14,14421,420,0,47,Oct
128,Data Science Resume Round-Up With @Tina Huang  | Episode 3,2020-10-12,6873,144,0,62,Oct
129,5 Unusual Data Science Projects that Will Land You a Job,2020-10-09,11921,569,0,83,Oct
130,Sh*t Data Scientists Say (Parody),2020-10-05,9563,581,0,144,Oct
131,5 Proven Strategies to Break into a Data Science Job,2020-10-02,8628,366,0,93,Oct
132,Why Data-Viz is so Darn Important (@Story by Data | Kate Strachnyi) - KNN EP. 16,2020-09-30,7077,288,0,61,Sep
133,Data Science Resume Round-Up With @TinaHuang1  - Episode 1,2020-09-28,11772,293,0,69,Sep
134,5 Essential Data Science Projects for Your Portfolio,2020-09-26,73358,3116,0,206,Sep
135,His Startup Will Land You a Data Science Job (Jeremie Harris) - KNN EP. 15,2020-09-23,5190,198,0,64,Sep
136,Reviewing Your Data Science Projects - Episode 21(The Cleanest Portfolio),2020-09-21,12621,483,0,58,Sep
